director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,Melissa McCarthy Maya Rudolph Joel McHale Brian Henson Action Comedy Crime
Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching,John Cho Debra Messing unknown Aneesh Chaganty Thriller Mystery Drama
Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon,Charlie Hunnam Rami Malek unknown Michael Noer Drama History Crime
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,Oscar Isaac Ben Kingsley Lior Raz Chris Weitz Drama History Thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action,kin,"Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action"
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,Domhnall Gleeson Ruth Wilson Will Poulter Lenny Abrahamson Mystery Drama Horror History
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror Mystery Thriller
Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint,Jennifer Garner John Ortiz Juan Pablo Raba Pierre Morel Action Thriller
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Adventure Comedy,the predator,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Adventure Comedy
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Crime Thriller,a simple favor,Anna Kendrick Blake Lively Henry Golding Paul Feig Crime Thriller
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror,hell house llc ii: the abaddon hotel,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy,the house with a clock in its walls,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Fantasy Family Comedy
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Adventure,the sisters brothers,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Adventure
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Comedy Horror,assassination nation,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Comedy Horror
Wash Westmoreland,Keira Knightley,Dominic West,unknown,Drama History,colette,Keira Knightley Dominic West unknown Wash Westmoreland Drama History
Michael Moore,Michael Moore (director/screenplay),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay) unknown unknown Michael Moore Documentary
Christian Carion,Guillaume Canet,Melanie Laurent,unknown,Crime Drama Thriller,my son,Guillaume Canet Melanie Laurent unknown Christian Carion Crime Drama Thriller
Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,"love, gilda",Lisa Dapolito (director); Gilda Radner unknown unknown Lisa Dapolito Documentary
Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Animation Action Adventure Fantasy,my hero academia: two heroes,Justin Briner Christopher R. Sabat Clifford Chapin Kenji Nagasaki Animation Action Adventure Fantasy
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Animation Adventure Fantasy,smallfoot,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy
Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee Comedy
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Horror,hell fest,Bex Taylor-Klaus Amy Forsyth Reign Edwards Gregory Plotkin Horror
Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott,Drama Romance Music,a star is born,Bradley Cooper Lady Gaga Sam Elliott Bradley Cooper Drama Romance Music
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Drama,the happy prince,Rupert Everett Colin Firth Colin Morgan Rupert Everett Drama
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Drama Mystery Crime,bad times at the el royale,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Drama Mystery Crime
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy
Nick Searcy,Nick Searcy (director); Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,Nick Searcy (director); Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
"Hannah Marks, Joey Power",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Comedy Drama Romance,after everything,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power Comedy Drama Romance"
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Katherine Waterston Jonah Hill Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Thriller,hunter killer,Gerard Butler Gary Oldman Common Donovan Marsh Action Thriller
David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Olga Kurylenko Ben Miller David Kerr Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror Thriller,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror Thriller
David G. Evans,Sarah Drew,Justin Bruening,Jason George,Drama War,indivisible,Sarah Drew Justin Bruening Jason George David G. Evans Drama War
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama History,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer Music Drama History
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Comedy Romance,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Comedy Romance
Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Drama,boy erased,Lucas Hedges Nicole Kidman Russell Crowe Joel Edgerton Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,War Drama,a private war,Rosamund Pike Jamie Dornan Stanley Tucci Matthew Heineman War Drama
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,the grinch,"Benedict Cumberbatch Rashida Jones Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
Fede Alvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Crime Thriller Action Drama,the girl in the spider's web,Claire Foy Sverrir Gudnason Lakeith Stanfield Fede Alvarez Crime Thriller Action Drama
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
Joel and Ethan Coen,Tim Blake Nelson,Zoe Kazan,Liam Neeson,Comedy Drama Western Music,the ballad of buster scruggs,Tim Blake Nelson Zoe Kazan Liam Neeson Joel and Ethan Coen Comedy Drama Western Music
Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Science Fiction Action Adventure Comedy,lazer team 2,Gavin Free Michael Jones Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy
Josh Webber,Josh Webber (director); Shaun Cairo (Screenplay),Jo Marie Payton,Gary Leroi Gray,Drama Thriller,conundrum: secrets among friends,Josh Webber (director); Shaun Cairo (Screenplay) Jo Marie Payton Gary Leroi Gray Josh Webber Drama Thriller
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Adventure Fantasy Drama,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Adventure Fantasy Drama
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner,Comedy Drama,instant family,Mark Wahlberg Rose Byrne Isabela Moner Sean Anders Comedy Drama
"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet,"John C. Reilly Sarah Silverman Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,creed ii,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy Music,green book,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy Music
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Adventure Action Thriller,robin hood,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Adventure Action Thriller
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Drama,roma,Yalitza Aparicio Marina de Tavira Fernando Grediaga Alfonso Cuarón Drama
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,History Drama Comedy,the favourite,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos History Drama Comedy
Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Adventure Drama,mowgli: legend of the jungle,Rohan Chand Christian Bale Cate Blanchett Andy Serkis Adventure Drama
Diederik van Rooijen,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,Horror Comedy Fantasy,anna and the apocalypse,Ella Hunt Malcolm Cumming Marli Siu John McPhail Horror Comedy Fantasy
Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,capernaum,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Nadine Labaki Drama
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Drama,ben is back,Lucas Hedges Julia Roberts Kathryn Newton Peter Hedges Drama
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Action Adventure Animation Science Fiction Comedy,spider-man: into the spider-verse,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction Comedy"
Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Adventure Science Fiction,mortal engines,Hugo Weaving Hera Hilmar Robert Sheehan Christian Rivers Adventure Science Fiction
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama Thriller,the mule,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama Thriller
Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Romance Drama,if beale street could talk,Kiki Layne Stephan James Teyonah Parris Barry Jenkins Romance Drama
Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy Fantasy,welcome to marwen,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy Fantasy
Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Animation,cold war,Joanna Kulig Tomasz Kot Agata Kulesza Paweł Pawlikowski Animation
Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Mystery Adventure Comedy Crime,holmes & watson,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime
Adam McKay,Christian Bale,Amy Adams,Steve Carell,Thriller Science Fiction Action Adventure,vice,Christian Bale Amy Adams Steve Carell Adam McKay Thriller Science Fiction Action Adventure
Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,destroyer,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,black mirror: bandersnatch,Fionn Whitehead Will Poulter Asim Chaudhry David Slade Science Fiction Mystery Drama Thriller TV Movie
Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Thriller Action Mystery Horror,escape room,Taylor Russell Logan Miller Deborah Ann Woll Adam Robitel Thriller Action Mystery Horror
Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama,rust creek,Hermione Corfield Jay Paulson Sean O'Bryan Jen McGowan Thriller Drama
Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,american hangman,Donald Sutherland Vincent Kartheiser Oliver Dennis Wilson Coneybeare Thriller
Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,a dog's way home,Bryce Dallas Howard Edward James Olmos Alexandra Shipp Charles Martin Smith Drama Adventure Family
Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,the upside,Bryan Cranston Kevin Hart Nicole Kidman Neil Burger Comedy Drama
Jeffrey Nachmanoff,Keanu Reeves,unknown,unknown,Science Fiction Thriller,replicas,Keanu Reeves unknown unknown Jeffrey Nachmanoff Science Fiction Thriller
Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,after darkness,Natalia Dyer Kyra Sedgwick Tim Daly Batán Silva Drama Family Thriller Science Fiction
M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,glass,James McAvoy Bruce Willis Samuel L. Jackson M. Night Shyamalan Thriller Drama Science Fiction
Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Action Thriller,close,Noomi Rapace Sophie Nélisse Indira Varma Vicky Jewson Action Thriller
Henry Dunham,James Badge Dale,Brian Geraghty,unknown,Drama Thriller Mystery,the standoff at sparrow creek,James Badge Dale Brian Geraghty unknown Henry Dunham Drama Thriller Mystery
Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,the final wish,Lin Shaye Michael Welch Melissa Bolona Timothy Woodward Jr. Horror
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,the kid who would be king,Louis Ashbourne Serkis Dean Chaumoo Tom Taylor Joe Cornish Action Adventure Fantasy Family
Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke,Science Fiction Action Adventure Thriller,serenity,Matthew McConaughey Anne Hathaway Jason Clarke Steven Knight Science Fiction Action Adventure Thriller
Grant Sputore,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard,Science Fiction Thriller,i am mother,Grant Sputore (director) Michael Lloyd Green (screenplay/story) Clara Rugaard Grant Sputore Science Fiction Thriller
Andrew Patterson,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick,Mystery Science Fiction Thriller,the vast of night,Andrew Patterson (director) James Montague Craig W. Sanger (writers); Sierra McCormick Andrew Patterson Mystery Science Fiction Thriller
Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie,Action,miss bala,Gina Rodriguez Ismael Cruz Córdova Anthony Mackie Catherine Hardwicke Action
Dan Gilroy,Jake Gyllenhaal,Rene Russo,Toni Collette,Thriller Mystery Horror,velvet buzzsaw,Jake Gyllenhaal Rene Russo Toni Collette Dan Gilroy Thriller Mystery Horror
Nicolas Pesce,Christopher Abbott,Mia Wasikowska,Laia Costa,Thriller Horror Mystery,piercing,Christopher Abbott Mia Wasikowska Laia Costa Nicolas Pesce Thriller Horror Mystery
Mike Mitchell,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action Adventure Animation Comedy Family,the lego movie 2: the second part,Chris Pratt Elizabeth Banks Tiffany Haddish Mike Mitchell Action Adventure Animation Comedy Family
Adam Shankman,Taraji P. Henson,Tracy Morgan,Max Greenfield,Comedy Romance,what men want,Taraji P. Henson Tracy Morgan Max Greenfield Adam Shankman Comedy Romance
Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson,Action Crime Thriller,cold pursuit,Liam Neeson Tom Bateman Tom Jackson Hans Petter Moland Action Crime Thriller
Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg,Drama,high flying bird,André Holland Zazie Beetz Melvin Gregg Steven Soderbergh Drama
Nicholas McCarthy,Taylor Schilling,Peter Mooney,Colm Feore,Horror Thriller,the prodigy,Taylor Schilling Peter Mooney Colm Feore Nicholas McCarthy Horror Thriller
Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,isn't it romantic,Rebel Wilson Liam Hemsworth Adam DeVine Todd Strauss-Schulson Comedy Fantasy Romance
Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,happy death day 2u,Jessica Rothe Israel Broussard Phi Vu Christopher Landon Comedy Horror Science Fiction
Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,alita: battle angel,Rosa Salazar Christoph Waltz Jennifer Connelly Robert Rodriguez Action Science Fiction Adventure
Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,how to train your dragon: the hidden world,Jay Baruchel America Ferrera Cate Blanchett Dean DeBlois Animation Family Adventure
Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,fighting with my family,Florence Pugh Lena Headey Nick Frost Stephen Merchant Comedy
Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,tyler perry's a madea family funeral,Tyler Perry Courtney Burrell Patrice Lovely Tyler Perry Comedy
Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Drama Mystery Thriller Horror,greta,Isabelle Huppert Chloë Grace Moretz Maika Monroe Neil Jordan Drama Mystery Thriller Horror
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,triple frontier,Ben Affleck Oscar Isaac Charlie Hunnam J. C. Chandor Action Thriller Crime Adventure
"Anna Boden, Ryan Fleck",Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action Adventure Science Fiction,captain marvel,"Brie Larson Samuel L. Jackson Ben Mendelsohn Anna Boden, Ryan Fleck Action Adventure Science Fiction"
Vincent D'Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur,Fantasy Comedy Family,the kid,Ethan Hawke Dane DeHaan Jake Schur Vincent D'Onofrio Fantasy Comedy Family
"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Brianna Denski,Ken Hudson Campbell,Matthew Broderick,Comedy Animation Adventure Family Fantasy,wonder park,"Brianna Denski Ken Hudson Campbell Matthew Broderick Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver Comedy Animation Adventure Family Fantasy"
Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors,Science Fiction,captive state,John Goodman Ashton Sanders Jonathan Majors Rupert Wyatt Science Fiction
Katt Shea,Sophia Lillis,Zoe Renee,Mackenzie Graham,Crime Family Comedy Mystery,nancy drew and the hidden staircase,Sophia Lillis Zoe Renee Mackenzie Graham Katt Shea Crime Family Comedy Mystery
James Kent,Alexander Skarsgård,Keira Knightley,Jason Clarke,War Drama Romance,the aftermath,Alexander Skarsgård Keira Knightley Jason Clarke James Kent War Drama Romance
Justin Baldoni,Cole Sprouse,Haley Lu Richardson,unknown,Romance Drama,five feet apart,Cole Sprouse Haley Lu Richardson unknown Justin Baldoni Romance Drama
John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates,Crime Drama Thriller,the highwaymen,Kevin Costner Woody Harrelson Kathy Bates John Lee Hancock Crime Drama Thriller
Robert Rodriguez,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia,Thriller Science Fiction,red 11,Roby Attal Lauren Hatfield Alejandro Rose Garcia Robert Rodriguez Thriller Science Fiction
Ivan Kavanagh,Emile Hirsch,Tim Ahern,Déborah François,Western,never grow old,Emile Hirsch Tim Ahern Déborah François Ivan Kavanagh Western
Jesse V. Johnson,Tony Jaa,Iko Uwais,Tiger Chen,Thriller Action,triple threat,Tony Jaa Iko Uwais Tiger Chen Jesse V. Johnson Thriller Action
Jordan Peele,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph,Thriller Horror Mystery,us,Lupita Nyong'o Winston Duke Shahadi Wright Joseph Jordan Peele Thriller Horror Mystery
Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,Thriller History Drama Action,hotel mumbai,Dev Patel Armie Hammer Nazanin Boniadi Anthony Maras Thriller History Drama Action
Jeff Tremaine,Douglas Booth,Iwan Rheon,Machine Gun Kelly,Drama Music History,the dirt,Douglas Booth Iwan Rheon Machine Gun Kelly Jeff Tremaine Drama Music History
S. Craig Zahler,Mel Gibson,Vince Vaughn,Michael Jai White,Crime Action Thriller,dragged across concrete,Mel Gibson Vince Vaughn Michael Jai White S. Craig Zahler Crime Action Thriller
Tim Burton,Colin Farrell,Michael Keaton,Danny DeVito,Animation Family,dumbo,Colin Farrell Michael Keaton Danny DeVito Tim Burton Animation Family
Harmony Korine,Matthew McConaughey,Zac Efron,Jonah Hill,Comedy,the beach bum,Matthew McConaughey Zac Efron Jonah Hill Harmony Korine Comedy
"Chuck Konzelman, Cary Soloman",Ashley Bratcher,Brooks Ryan,Robia Scott,Drama,unplanned,"Ashley Bratcher Brooks Ryan Robia Scott Chuck Konzelman, Cary Soloman Drama"
David F. Sandberg,Zachary Levi,Asher Angel,Mark Strong,Action Comedy Fantasy,shazam!,Zachary Levi Asher Angel Mark Strong David F. Sandberg Action Comedy Fantasy
"Kevin Kolsch, Dennis Widmyer",Jason Clarke,Amy Seimetz,John Lithgow,Horror Thriller,pet sematary,"Jason Clarke Amy Seimetz John Lithgow Kevin Kolsch, Dennis Widmyer Horror Thriller"
Robin Bissell,Taraji P. Henson,Sam Rockwell,unknown,Drama History,the best of enemies,Taraji P. Henson Sam Rockwell unknown Robin Bissell Drama History
Claire Denis,Robert Pattinson,Juliette Binoche,André Benjamin,Science Fiction Drama Mystery Thriller,high life,Robert Pattinson Juliette Binoche André Benjamin Claire Denis Science Fiction Drama Mystery Thriller
